#This file contains MissionEvent
#Date(DD-MM-YYYY),Name,Description,DurationTime,Exp,LevelMin,ParticipantsMax,SupportAbility,SynchRate,TacticalAbility,Image(Base64)
#27-12-2024,Example,This is an Example,5,100,5,3,25,30,25,(BASE64)

25-12-2024,Operation Silent Night,Testing and activation of a new A.T. Field during Christmas Eve with the pilots under pressure to ensure the protection of Tokyo-3,5,150,2,3,30,35,40,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
26-12-2024,Escape from Christmas,An Angel targets NERV during the holiday season. Pilots must repel the attack while the city celebrates,6,200,3,3,25,30,45,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
27-12-2024,Angels Nightfall,An Angel attacks during a city-wide festival. Pilots must act fast to protect civilians while keeping the chaos under control,5,180,2,3,30,35,40,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
28-12-2024,Operation Frostbite,An Angel has taken control of a military outpost. The pilots must engage in a bitter cold battle to take back control and eliminate the threat,7,250,3,3,35,40,45,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
29-12-2024,The Shattered Peace,The battle with a powerful Angel disrupts Tokyo-3s peace. Pilots must recover vital data from a downed satellite while fighting off the enemy,6,220,3,3,30,35,40,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
30-12-2024,Winter Assault,An Angel attacks in the heart of Tokyo-3 during the winter holidays. The pilots must use their training to neutralize the Angel before it disrupts NERV,6,200,3,3,30,35,40,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
31-12-2024,Silent Night,An Angel hides among the New Year's celebrations. Pilots must act quickly before it destroys Tokyo-3,4,120,2,2,20,25,30,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
01-01-2025,New Years Eve Battle,During the first hours of the New Year a new Angel launches a surprise attack. Pilots must engage it before the situation worsens,5,150,2,3,30,35,40,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
02-01-2025,Frozen Front,An Angel emerges from a glacier creating an ice storm that affects Tokyo-3. Pilots must battle the Angel while dealing with severe weather conditions,6,180,3,3,30,35,40,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
03-01-2025,Crimson Dawn,The appearance of an Angel triggers a violent storm. The pilots must fight through treacherous conditions to defeat the Angel before it consumes the city,5,170,3,3,28,33,38,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
